student id,teacher id,assessment,question number,relative question number,question group,points possible,points earned,exam started,exam completed,is honors student,is honors exam,standard,lesson,question_stem,response,score in 3 point scale,cleaned_response
STDT 25,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-12-30 20:47:49,2020-12-30 21:58:35,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," Because the mass of the astronaut is the same on both, but weight is actually a force and it depends on the acceleration due to gravity. On the moon the acceleration due to gravity is 1/6 of the Earth's so the astronaut's weight will be 1/6 lighter on the moon.  ",2," because the mass of the astronaut is the same on both, but weight is actually a force and it depends on the acceleration due to gravity. on the moon the acceleration due to gravity is 1/6 of the earth's so the astronaut's weight will be 1/6 lighter on the moon.  "
STDT 27,TCH 1,01.01 Gravitational Law,65,19,7,4,2,2020-10-26 11:49:01,2020-10-26 12:02:19,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", The weight change because there is no gravity in space . ,1, the weight change because there is no gravity in space . 
STDT 28,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-10-30 08:58:03,2020-10-30 09:42:37,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", the astronaut weight is different on the moon because there is no gravity beacause the smallersize of the moon this mean the astronaut  weight will decrease one the moon and weight depends on mass and gravity. ,2, the astronaut weight is different on the moon because there is no gravity beacause the smallersize of the moon this mean the astronaut  weight will decrease one the moon and weight depends on mass and gravity. 
STDT 31,TCH 1,01.01 Gravitational Law,65,19,7,4,3,2020-01-30 16:18:15,2020-01-30 16:50:58,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," The weight on moon is pretty less than how it is on earth.There is a diffrence strength of gravity that's on the moon. The gravity forces that's on the moon is dertermine by the mass.Also,it dertermine by the size of the moon. ... Which will dertermine if you're mass will stay the same.",2," the weight on moon is pretty less than how it is on earth.there is a diffrence strength of gravity that's on the moon. the gravity forces that's on the moon is dertermine by the mass.also,it dertermine by the size of the moon. ... which will dertermine if you are mass will stay the same."
STDT 32,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-08-25 20:10:30,2020-08-25 20:19:56,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.","The moon has less gravitational force than on earth. So even though the mass is the same, the weight is not. An astronaut would weigh less on the moon. ",2,"the moon has less gravitational force than on earth. so even though the mass is the same, the weight is not. an astronaut would weigh less on the moon. "
STDT 33,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-09-23 13:57:28,2019-09-23 16:30:14,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," The more gravity  it is the more  you will weigh .Also in space  you weight less then you do in Earth, because space has almost no gravity at all.",2," the more gravity  it is the more  you will weigh .also in space  you weight less then you do in earth, because space has almost no gravity at all."
STDT 40,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-09-05 13:44:37,2019-09-05 13:59:52,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.","The moon's gravity is less than Earth's so an astronauts weights less on the Earth, but his or her mass remains the same.",2,"the moon's gravity is less than earth's so an astronauts weights less on the earth, but his or her mass remains the same."
STDT 44,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2019-09-04 09:43:52,2019-09-04 09:48:32,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",There both differnt because on earth we measure on killograms bu on the moon it go's down alot and it becomes alot differnt.,0,there both differnt because on earth we measure on killograms bu on the moon it go's down alot and it becomes alot differnt.
STDT 52,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-01 11:32:21,2020-09-01 12:12:13,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", He (or she) would weigh less than you would on Earth than on the moon because the moon is smaler and it dose not have that much mass ,2, he (or she) would weigh less than you would on earth than on the moon because the moon is smaler and it dose not have that much mass 
STDT 58,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2020-09-29 22:36:08,2020-09-29 23:34:15,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", Are  weight  on  moon  is less  than  it would be on  Earth  threw to a difference of the strength of gravity on our  moon . The  moon's  gravitation force is determined by the  mass  and the size of the  moon. ;-----------------------; ,0, are  weight  on  moon  is less  than  it would be on  earth  threw to a difference of the strength of gravity on our  moon . the  moon's  gravitation force is determined by the  mass  and the size of the  moon. ;-----------------------; 
STDT 61,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2019-08-20 10:26:33,2019-08-20 10:40:16,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",Astronaut when they go to the moon they flout then on the earth you walk on your two feet then the the sky period .,0,astronaut when they go to the moon they flout then on the earth you walk on your two feet then the the sky period .
STDT 63,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-11-23 12:54:54,2020-11-23 12:59:40,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",Our weight on moon is less than it would be on Earth due to a difference of the strength of gravity on the moon. The moon's gravitation force is determined by the mass and the size of the moon. ,2,our weight on moon is less than it would be on earth due to a difference of the strength of gravity on the moon. the moon's gravitation force is determined by the mass and the size of the moon. 
STDT 65,TCH 1,01.01 Gravitational Law,65,19,7,4,2,2020-09-08 11:27:55,2020-09-08 11:41:32,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", beacuse the weight in moon is less that it would be on earth due to a difference of the force of gravity on the moon.  ,1, beacuse the weight in moon is less that it would be on earth due to a difference of the force of gravity on the moon.  
STDT 69,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-08-27 10:59:19,2019-08-27 11:11:41,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", Because weight is the force of gravity on an object and because there is less gravity on the moon' the astronaut will weigh less then on earth where there is more gravity.,2, because weight is the force of gravity on an object and because there is less gravity on the moon' the astronaut will weigh less then on earth where there is more gravity.
STDT 70,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-21 18:16:54,2020-09-21 18:37:12,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",Weight depends on gravity and depending on the gravitational force of your location the less gravity the less weight.On earth the astronaut and suit might weigh 200lbs but in space there is no gravity so you have lower or no weight at all. ,2,weight depends on gravity and depending on the gravitational force of your location the less gravity the less weight.on earth the astronaut and suit might weigh 200lbs but in space there is no gravity so you have lower or no weight at all. 
STDT 72,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-09-30 15:08:39,2019-09-30 15:26:39,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",Astronauts weight is different on the moon. The weight on the moon decreases because there is less gravity on the moon and that affects the weight. the weight on the Earth increases because there is more gravity on the Earth.,2,astronauts weight is different on the moon. the weight on the moon decreases because there is less gravity on the moon and that affects the weight. the weight on the earth increases because there is more gravity on the earth.
STDT 74,TCH 1,01.01 Gravitational Law,65,19,7,4,3,2020-09-02 13:22:34,2020-09-02 13:31:50,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", on the moon the mass will not change because the mass doesnt depend on the gravitation . the weight will change  because of the force .  ,2, on the moon the mass will not change because the mass doesnt depend on the gravitation . the weight will change  because of the force .  
STDT 76,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-10-21 09:24:29,2020-10-21 09:33:24,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", The weight would be different since the earth is bigger than the moon. ,2, the weight would be different since the earth is bigger than the moon. 
STDT 83,TCH 1,01.01 Gravitational Law,65,19,7,4,3,2019-08-20 11:30:29,2019-08-20 11:50:25,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.","the weight is different on the moon because on earth theres gravity but on the moon there isn't and as it says, Because weight is a measure of force, it requires an object to have both mass and gravity.  ",2,"the weight is different on the moon because on earth theres gravity but on the moon there is not and as it says, because weight is a measure of force, it requires an object to have both mass and gravity.  "
STDT 84,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-08-21 11:10:47,2020-08-21 13:50:07,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," Astronauts weigh less on the moon because on the moon, there is less mass. Mass is one of the things that affect gravity. Another reason is that the moon is 60% less dense than Earth. Just think of it like this, when you're submerged in water you'll float, like an astronaut in space. I'm saying this because density is another thing that affects the gravitational pull. This is why astronauts weigh less in space. ",2," astronauts weigh less on the moon because on the moon, there is less mass. mass is one of the things that affect gravity. another reason is that the moon is 60% less dense than earth. just think of it like this, when you are submerged in water you will float, like an astronaut in space. i am saying this because density is another thing that affects the gravitational pull. this is why astronauts weigh less in space. "
STDT 85,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2019-08-13 14:06:10,2019-08-13 14:14:38,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", liter wait on the moon then the earth,0, liter wait on the moon then the earth
STDT 89,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-09-09 09:52:52,2019-09-09 09:57:22,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," It is different because on earth,the gravity is higher than on the moon.",2," it is different because on earth,the gravity is higher than on the moon."
STDT 95,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-14 17:50:51,2020-09-14 18:21:07,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",An Astronaut weights different on the moon than on earth because the moon is smaller than the earth so the Gravity has less force on your body. ,2,an astronaut weights different on the moon than on earth because the moon is smaller than the earth so the gravity has less force on your body. 
STDT 97,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-08-13 13:28:02,2019-08-13 14:08:03,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",An astronauts weight is different because the location isn't the same and the mass is different and the moons gravity is less. So the astronaut would weigh less.,2,an astronauts weight is different because the location is not the same and the mass is different and the moons gravity is less. so the astronaut would weigh less.
STDT 99,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-10-22 14:46:12,2020-10-22 22:26:15,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", On earth the gravity is bigger than on the moon in space. Earth works like a big magnet that attracts more objects than in space.  That is why we stay in place on Earth and in space we float.Even if you weigh alot you still float. Because the mass of the earth is so big it attracts more objects. ,2, on earth the gravity is bigger than on the moon in space. earth works like a big magnet that attracts more objects than in space.  that is why we stay in place on earth and in space we float.even if you weigh alot you still float. because the mass of the earth is so big it attracts more objects. 
STDT 101,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-03 12:52:56,2020-09-03 13:01:28,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.","An astronaut's weight would be different on the moon because the moon does not have a very powerful gravitational pull. So whatever the astronaut weighed on Earth, he would weigh less on the moon because even though his mass is the same, there is less gravity pulling down on his mass, so his total weight is less. ",2,"an astronaut's weight would be different on the moon because the moon does not have a very powerful gravitational pull. so whatever the astronaut weighed on earth, he would weigh less on the moon because even though his mass is the same, there is less gravity pulling down on his mass, so his total weight is less. "
STDT 104,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-02-03 14:02:58,2020-02-03 14:13:14,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," Because weight is the force of gravity on an object, the weight of an object increases in a location with more gravity and decreases in a place with less. For example, the moon's gravity is less than Earth's. So an astronaut weighs less on the moon than on Earth, but his or her mass remains the same.",2," because weight is the force of gravity on an object, the weight of an object increases in a location with more gravity and decreases in a place with less. for example, the moon's gravity is less than earth's. so an astronaut weighs less on the moon than on earth, but his or her mass remains the same."
STDT 106,TCH 1,01.01 Gravitational Law,65,19,7,4,2,2020-08-26 13:56:07,2020-08-27 09:42:12,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," Earth has gravity the moon has less gravity, because the earth has our normal earth weight and the moon let you flout in the air.earth lets us stay on the ground because earth has more gravity because earth has more objects which creates gravity. ",1," earth has gravity the moon has less gravity, because the earth has our normal earth weight and the moon let you flout in the air.earth lets us stay on the ground because earth has more gravity because earth has more objects which creates gravity. "
STDT 111,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-08-20 10:56:50,2019-08-20 11:06:37,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," If there is more gravity in one place then the other, the area with the least gravity will make things weigh less. That is why astronaut's weigh less on the moon then on earth.",2," if there is more gravity in one place then the other, the area with the least gravity will make things weigh less. that is why astronaut's weigh less on the moon then on earth."
STDT 115,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-08-22 08:33:56,2019-08-22 08:56:59,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",A astronaut's weight is different because the moon is smaller then the earth. The bigger the plant(or moon) the more gravity so your weight would be less.,2,a astronaut's weight is different because the moon is smaller then the earth. the bigger the plant(or moon) the more gravity so your weight would be less.
STDT 118,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-10-20 15:13:20,2020-10-20 15:21:31,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",The astronaut's weight is reduced on the moon because the Moon is smaller than Earth but the mass doesn't change like the weight. ,2,the astronaut's weight is reduced on the moon because the moon is smaller than earth but the mass does not change like the weight. 
STDT 120,TCH 1,01.01 Gravitational Law,65,19,7,4,3,2020-09-03 12:54:08,2020-09-03 12:59:27,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," An astronauts weight would be different on the moon than it is on the earth because the moon has less gravity than Earth. Since Earth has more gravity, the astronaut's weight would be more than how it would be on the moon. ",2," an astronauts weight would be different on the moon than it is on the earth because the moon has less gravity than earth. since earth has more gravity, the astronaut's weight would be more than how it would be on the moon. "
STDT 129,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2021-01-19 21:28:55,2021-02-02 12:26:26,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", I hate FLVS!!!   ,0, i hate flvs!!!   
STDT 133,TCH 1,01.01 Gravitational Law,65,19,7,4,2,2020-08-26 11:14:11,2020-08-26 11:19:39,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", the moon has less gravity. ,1, the moon has less gravity. 
STDT 139,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-11-12 16:19:24,2019-11-12 16:29:31,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.","An astronaut's weight is different on the moon because the gravitational force on the moon is weaker than on Earth. So it doesn't pull you down as much. Weight is the measurement of gravitational pull on an object, so less pull= less weight.",2,"an astronaut's weight is different on the moon because the gravitational force on the moon is weaker than on earth. so it does not pull you down as much. weight is the measurement of gravitational pull on an object, so less pull= less weight."
STDT 144,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-08-20 10:02:30,2020-08-20 10:07:55,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", Weight relies on mass and gravity making it lighter on the moon because there is less gravity on the moon ,2, weight relies on mass and gravity making it lighter on the moon because there is less gravity on the moon 
STDT 157,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-09-10 11:55:05,2019-09-14 22:03:14,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," Weight is the force of gravity on an object,The weight of an object increases in a location with more gravity and decreases in a place with less gravity.",2," weight is the force of gravity on an object,the weight of an object increases in a location with more gravity and decreases in a place with less gravity."
STDT 158,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-09-26 14:33:31,2019-09-26 15:11:48,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",The weight of an object increases in a location with more gravity and decreases is outer places,2,the weight of an object increases in a location with more gravity and decreases is outer places
STDT 159,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-01 15:05:51,2020-09-01 15:11:19,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.","On Earth, gravity is stronger and weight depends on gravity and mass. Also there's hardly any gravity on the moon. ",2,"on earth, gravity is stronger and weight depends on gravity and mass. also there's hardly any gravity on the moon. "
STDT 163,TCH 1,01.01 Gravitational Law,65,19,7,4,1,2020-10-01 11:25:00,2020-10-01 12:18:14,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth."," The weight of the astronaut changed depending on where he was. He was 175 lbs on Earth, 29 lbs on the moon, and 79 kg without being on a planet and just floating around space. ",0," the weight of the astronaut changed depending on where he was. he was 175 lbs on earth, 29 lbs on the moon, and 79 kg without being on a planet and just floating around space. "
STDT 164,TCH 1,01.01 Gravitational Law,65,19,7,4,3,2019-10-17 18:58:11,2019-10-17 19:39:38,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",Astronaut's weight is different from here on Earth because weight is measured of  force and it requires an object to have both mass and gravity. ,2,astronaut's weight is different from here on earth because weight is measured of  force and it requires an object to have both mass and gravity. 
STDT 165,TCH 1,01.01 Gravitational Law,65,19,7,4,1,2020-10-19 11:54:59,2020-10-20 10:25:48,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.","The astronaut's weight is different on the moon than it is on Earth, because on the Earth were able to stay on the flat ground and walk around which is gravity, so the astronaut's body is balanced on Earth because of the gravity we have. But on the moon or outer space the astronaut's body is floating because there're different types of gas and mass in outer-space. So the astronaut has a rope on the back of his suit, so it can prevent the astronaut's body from floating in space. ",0,"the astronaut's weight is different on the moon than it is on earth, because on the earth were able to stay on the flat ground and walk around which is gravity, so the astronaut's body is balanced on earth because of the gravity we have. but on the moon or outer space the astronaut's body is floating because there are different types of gas and mass in outer-space. so the astronaut has a rope on the back of his suit, so it can prevent the astronaut's body from floating in space. "
STDT 166,TCH 1,01.01 Gravitational Law,65,19,7,4,2,2019-12-19 11:18:46,2019-12-19 11:26:11,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",The astronauts weight is always the same. but it seems like less because there is no gravity on the moon. ,1,the astronauts weight is always the same. but it seems like less because there is no gravity on the moon. 
STDT 169,TCH 1,01.01 Gravitational Law,65,19,7,4,3,2020-08-13 10:49:10,2020-08-13 11:03:58,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", The gravity is different out of the earth. so if you put a scale on the ship with the astronaut's and they weid them self there would be less gravity. here we have more so it pulls us down to make us heaver. ,2, the gravity is different out of the earth. so if you put a scale on the ship with the astronaut's and they weid them self there would be less gravity. here we have more so it pulls us down to make us heaver. 
STDT 172,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-14 17:49:00,2020-09-14 18:22:25,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", An astronaut's weight is different on the moon because the moon has less mass than the earth and the gravitational attraction on the earth is more than the moon  the mass on earth is 100kg and weight is 980n and for the moon the mass is 100kg and weight 162.2n ,2, an astronaut's weight is different on the moon because the moon has less mass than the earth and the gravitational attraction on the earth is more than the moon  the mass on earth is 100kg and weight is 980n and for the moon the mass is 100kg and weight 162.2n 
STDT 175,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2019-08-20 15:06:04,2019-08-20 15:14:37,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",when your on the moon your weight is measured by kilograms but when your on earth your weight is measured on pounds,0,when your on the moon your weight is measured by kilograms but when your on earth your weight is measured on pounds
STDT 176,TCH 1,01.01 Gravitational Law,65,19,7,4,2,2020-08-13 10:38:36,2020-08-13 10:45:15,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", the moon has less gravity so the astronaut's weigh less and if they were on earth they whould stay the same. ,1, the moon has less gravity so the astronaut's weigh less and if they were on earth they whould stay the same. 
STDT 177,TCH 1,01.01 Gravitational Law,65,19,7,4,0,2020-09-11 10:04:27,2020-10-01 21:40:47,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", an astroonauts weights is different because ,0, an astroonauts weights is different because 
STDT 185,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-09-14 14:01:37,2020-09-15 09:16:59,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", The reason why an astronaut's weight is different on earth is because there is less gravity on the moon. Weight is a force on an object. That force lessens on the moon basically.  ,2, the reason why an astronaut's weight is different on earth is because there is less gravity on the moon. weight is a force on an object. that force lessens on the moon basically.  
STDT 186,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-09-18 20:41:38,2019-09-18 20:52:56,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", Our weight on moon is less than it would be on Earth due to a difference of the strength of gravity on the moon. The moon's gravitation force is determined by the mass and the size of the moon.for this being said they have less weight in the space (i mean) the moon.,2, our weight on moon is less than it would be on earth due to a difference of the strength of gravity on the moon. the moon's gravitation force is determined by the mass and the size of the moon.for this being said they have less weight in the space (i mean) the moon.
STDT 187,TCH 1,01.01 Gravitational Law,65,19,7,4,2,2019-09-09 14:59:25,2019-09-09 15:10:04,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",because of the gravity that the earth takes from the moon,1,because of the gravity that the earth takes from the moon
STDT 193,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2020-08-25 21:47:36,2020-08-25 21:53:57,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.", because as gravity increases it pulls our bodies more into the ground and causes us to be heavier and on the moon the gravitational pull is less than earth so the moon pulls us weaker than earth does. ,2, because as gravity increases it pulls our bodies more into the ground and causes us to be heavier and on the moon the gravitational pull is less than earth so the moon pulls us weaker than earth does. 
STDT 195,TCH 1,01.01 Gravitational Law,65,19,7,4,4,2019-11-21 13:40:17,2019-11-21 13:58:15,0,0,SC.6.P.13.2,01.01R,"In your own words, describe why an astronaut's weight is different on the moon than it is on Earth.",because the moon has less gravity there for their weight is decreased from what it would be on earth,2,because the moon has less gravity there for their weight is decreased from what it would be on earth
