id,response
STDT 139,"An astronaut's weight is different on the moon because the gravitational force on the moon is weaker than on Earth. So it doesn't pull you down as much. Weight is the measurement of gravitational pull on an object, so less pull= less weight."
STDT 144, Weight relies on mass and gravity making it lighter on the moon because there is less gravity on the moon 
STDT 157," Weight is the force of gravity on an object,The weight of an object increases in a location with more gravity and decreases in a place with less gravity."
STDT 158,The weight of an object increases in a location with more gravity and decreases is outer places
STDT 159,"On Earth, gravity is stronger and weight depends on gravity and mass. Also there's hardly any gravity on the moon. "
STDT 163," The weight of the astronaut changed depending on where he was. He was 175 lbs on Earth, 29 lbs on the moon, and 79 kg without being on a planet and just floating around space. "
STDT 164,Astronaut's weight is different from here on Earth because weight is measured of  force and it requires an object to have both mass and gravity. 
STDT 165,"The astronaut's weight is different on the moon than it is on Earth, because on the Earth were able to stay on the flat ground and walk around which is gravity, so the astronaut's body is balanced on Earth because of the gravity we have. But on the moon or outer space the astronaut's body is floating because there're different types of gas and mass in outer-space. So the astronaut has a rope on the back of his suit, so it can prevent the astronaut's body from floating in space. "
STDT 166,The astronauts weight is always the same. but it seems like less because there is no gravity on the moon. 
STDT 169, The gravity is different out of the earth. so if you put a scale on the ship with the astronaut's and they weid them self there would be less gravity. here we have more so it pulls us down to make us heaver. 
STDT 172, An astronaut's weight is different on the moon because the moon has less mass than the earth and the gravitational attraction on the earth is more than the moon  the mass on earth is 100kg and weight is 980n and for the moon the mass is 100kg and weight 162.2n 
STDT 175,when your on the moon your weight is measured by kilograms but when your on earth your weight is measured on pounds
STDT 176, the moon has less gravity so the astronaut's weigh less and if they were on earth they whould stay the same. 
STDT 177, an astroonauts weights is different because 
STDT 185, The reason why an astronaut's weight is different on earth is because there is less gravity on the moon. Weight is a force on an object. That force lessens on the moon basically.  
STDT 186, Our weight on moon is less than it would be on Earth due to a difference of the strength of gravity on the moon. The moon's gravitation force is determined by the mass and the size of the moon.for this being said they have less weight in the space (i mean) the moon.
STDT 187,because of the gravity that the earth takes from the moon
STDT 193, because as gravity increases it pulls our bodies more into the ground and causes us to be heavier and on the moon the gravitational pull is less than earth so the moon pulls us weaker than earth does. 
STDT 195,because the moon has less gravity there for their weight is decreased from what it would be on earth
STDT 196,Because when you are on the moon there are less gravity. when you are on land there are more gravity.
STDT 197,The weight on the moon is different because the mass is smaller on the moon then on earth so the gravity is weaker 
STDT 199,The moon has less gravity than earth.
STDT 203,"Since the Moon is smaller than Earth, it has a weaker gravitational pull. In fact, the Moon only has 1/6 the gravity that Earth does. This means you weigh six times less on the Moon than you do on Earth. So an object or person on the moon would weigh 16.5% its weight on earth"
STDT 204,"If I was an Astronaut of course my weight will be different on the moon than it is on Earth for example, the reason why my weight is different because on the moon there's no gravity and on earth we have gravity so on earth I weight more than I will weight on the moon. "
STDT 207, Earth has more  gravitation  polu then the moon 
STDT 208," Because the moon has less gravitional force, making you weigh less. "
STDT 217,The weight on the moon would be less than it would be on earth because of the strength of gravity on the moon. The moon has 0 gravity. 
STDT 222, Because there is no gravity on the moon. If there is no gravity then there is nothing to pull down the mass of their body making them weightless. 
STDT 223,because in space there is no gravity to make an astrounaut fall of hit the ground they will just float.
STDT 224,"Astronaut's weight is different on the moon than it's on earth because weight is measured in force.Weight needs gravity because gravity is a force.Earth has more gravity than the moon because the earth is more bigger than the moon.And the bigger the object the more force.So,the weight changes because there's more gravity on earth."
STDT 226,"On earth, we have more gravity so our weight increases. On the moon we would have less gravity, so our weight would decrease."
STDT 229,It decreases because the gravitational pull on earth is stronger then it is on space 
STDT 230, Because when the mass changes the weight chances   
STDT 234, An Astronaut weight is different on the moon because there is no gravity on the moon. The moon would make an Astronaut feel weightless. On the Earth and Astronaut would have gravity to account for his or her weight 
STDT 235, The reason an astronaut weighs differently on the moon is because Earth has a greater gravitational force while the moon relies on the Earth 
STDT 236," Let's start with the basics. Earth has more mass and hence more gravity than the moon. Since weight is affected by mass and gravity and the moon has less mass and therefore less gravity, it would affect weight. It will make you weigh less because the moon has less mass and therefore less  gravity. If the moon was bigger, it would have the opposite effects. Jupiter would have more mass and more gravity, therefore more weight. "
STDT 241," No, because astronauts don't weigh, in space or anything, but they still take up the same space they do on earth, so their weight or mass doesn't change. For example, ""The weight of an object will change if the object is brought farther away from earth"". Did not write this, but it's a main example. As much as you can probably feel weightless in space, you still have the same weight and mass that you are on earth. "
STDT 245, An astronaut's weight is different because the earth and the moon are two different sizes and have different gravity. 
STDT 247," The moon has less gravity than the earth, due to having less mass. Since weight is affected by your mass and the gravity of what you are measuring on, that means that the weight will be lighter than earths "
STDT 248," My mass on a different planet would still be the same as it was on the Earth. Mass refers to the amount of matter in an object, this means that mass will not change even on a different planet.  "
STDT 250, Because there are different gravity strengths. 
STDT 252, An Astronauts weight is different on the moon because the gravitational pull on the moon is not as strong. The astronaut will weigh less on the moon.  
STDT 254,Because the moon has less mass than the earth and more mass = more gravitational force.
STDT 259, Because it has no gravity 
STDT 261," On earth we have gravity, but once you get up in space there's no gravity. If you do not have on gravity boots, once you get into space you will float. The weight is different on earth than it is on the moon.For example, the moon's gravity is less than Earth's. So an astronaut weighs less on the moon than on Earth, but his or her mass remains the same.   "
STDT 264," Gravity and mass determine weight. When the location changes, the weight changes as well. Weight is the force of gravity on an object. In higher-gravity locations, weight is heavier. The location of the earth and the moon is different, which proves  why the weight is different. "
STDT 266, It depends on the location. In outer space your wight get lighter because there is less gravity there.  
STDT 268, The reason an astronaut's weight is different on the moon is because the smaller mass of the moon means that the astronaut will be less drawn to the moon. 
STDT 269," Well, From What I Know,An Astronaut Weighs about 60 pounds On The Moon because the gravity is only 1.62 m/s.On Earth An Astronaut Weighs About 130-160 Pounds Because gravity is 9.807 m/s On Earth.The Difference Is That Earth has Less Mass Then The Moon. "
STDT 271," Let's say on astronuots weight is 150 Ib on Earth, in the moon her weight will be less because the moon has far less gravity than the Earth. "
STDT 272,       An astronauts weight is less on the moon than it is on earth because of it's gravity. The mass will stay the same.
STDT 276, The earth is bigger than the moon so astronaut's weight would be greater on the earth then the moon. 
STDT 280,Because there is less gravity on the moon than there is on earth.
STDT 284,The moon has less gravity or gravitational force than Earth so their weight is less.
STDT 285, it measure a force of both mass and gravity 
STDT 286," An astronaut's weight is different on the moon because of gravity. The less gravity there is, the less you weigh. "
STDT 287," Since the moon has less mass than Earth, the Moon has less gravitational pull, which would mean you would weigh less."
STDT 289," On Earth, an astronaut may weigh 175 pounds (778 N). But when the same astronaut is on the moon, the astronaut will weigh 29 pounds (129 N). weight is the force experienced by an object due to gravity. Because weight depends on both mass and gravity. "
STDT 291, Its less gravitational pull on the moon that the earth. 
STDT 294, because gravity 
STDT 297,"His weight is different because there in no gravitational pull, no gravity to hold him down to the ground. So it is like he is a slight as a feather."
STDT 298, the moon's gravity is less than the gravity on Earth. 
STDT 300," All objects with mass have a gravitational pull, the greater the mass, the greater the gravitational pull. Earth's gravitational pull is stronger than every human being, and every object; the weight of a person or thing, depends on the mass of it and the gravitational pull. The moon has less mass than the Earth, meaning it has less gravity/gravitational pull, this causes the pull on humans to not be as strong, ergo the reason that astronaut's weight is lighter.  "
STDT 301," The reason why an astronaut's weight on the moon is different from the weight on the earth is, that the earth has more of a gravitational pull than on the moon. "
STDT 302,Astronauts weigh less because there is less gravity.
STDT 305, On the moon the astronaut's weight would be 29 lbs or pounds.and on earth it would weigh 175 lbs or pounds. Because the weight of an object increases in a location with more gravity and decreases in a place with less.  
STDT 308," The moon has less gravity than the Earth. For example, say your 175lbs on Earth, then you would be 29lbs on the moon.The weight of an object increases in a location with more gravity and decreases in a place with less. "
STDT 310, The weight is different because of gravity.  
STDT 315," The gravity on Earth is more than on the moon. If you traveled from Earth to the moon, then your weight would be less thanks to gravity. The moon has less mass and gradational attraction than the Earth, so its gradational force is less. However, our mass stays the same.  "
STDT 323, An astronaut's weight is different because on the moon there is no gravity so there is less weight but on Earth there is gravity so the weight will be regular.  
STDT 325, because when your on the moon there is less gravity  so there is nothing polling you down so you weigh less.
STDT 326, The astronaut's weight was different on the moon then earth because there's no gravity in space. Gravity contributes to the weight of things on earth. 
STDT 328, On the earth there is gravity so therefor thing weigh more. on the moon there is no gravity so there is no weight. 
STDT 334, An astronaut's weight on the moon is much less because the gravitational field strength is much less on the moon than on the earth. 
STDT 343,Because the moon and the earth hav different gravitational pull.
STDT 344," The astronaut's weight is different on the moon because the moon is smaller, so the astronaut's weight is different. "
STDT 345," The moon has less gravity than the Earth does, which means in a place with more gravity, weight increases and in a place with less gravity, weight decreases, that's because weight is the force of gravity on an object. "
STDT 347,"  It's because weight is a measure of force. It requires an object to have both mass and gravity. On Earth, your mass is measured in kilograms (kg) and your weight is measured in pounds (lb). "
STDT 349, In space you have no gravity. 
STDT 350,"  It is because there is less gravity, and the moon is smaller which means it has less mass. "
STDT 355, The difference between the weight of astronauts on the earth and the moon is that the moon has a different mass of gravity than the earth does.  
STDT 358,The reason that an astronaut weight is different on the moon is because mass depends on weight and gravity. The gravity on the moon is less than Earths so this means that the astronaut would weigh less.
STDT 362, This assignment was resubmitted and I don't know why and i didn't do anything. The gravity is stronger on earth so your weight would be more on earth than the moon because gravity is not as strong on the moon because its smaller than earth. 
STDT 365, on the moon gravity is less and on earth gravitas is greater and stronger 
STDT 367, Weight depends on both mass and gravity. It changes depending on location. 
STDT 374, an astronauts weight is different because there is less gravity on the moon and it has less mass so that's why astronauts only weigh like 29ibs on the moon 
STDT 377,An astronauts weight is different on the moon than on earth Earth.  This is because the gravitational pull is weaker on the moon. The gravitational pull from the moon to the astronaut is not as strong as that on Earth so the astronauts weight less on the moon. 
STDT 381, An astronaut's weight would be different on the moon than on Earth because on the moon there is no gravity and on Earth there is gravity. 
STDT 384,weight is the force of gravity on an object and there is no gravity on the moon so he would weigh less.  there is gravity on earth so he would weigh more.
STDT 387, Because there is less gravity in outer space. I would weigh less than I already do. 
STDT 391," The earth's mass is greater than the moons giving the earth a greater gravitational force. The weight of a human (or object) relies on the location's gravitational force and the ""thing's""  mass to determine the total lbs or N (newtons).  The gravitational force on an astronaut isn't as strong on the moon than on earth, making an astronauts weight less on the moon than it would on earth. "
STDT 393," Gravity is a force that pulls you down, so if there is less gravity on the moon you will weigh less. "
STDT 399, Astronaut's weight is different on the moon than on earth because it has less gravity 
STDT 412, The astronaut weighs less on the moon because it has no gravity. 
STDT 418, The astronaut's weight is going to be  different on the moon than it is on Earth because theres more gravity on earth then on the moon. 
STDT 420," The astronaut's mass does not change, but the size of the celestial being is different and it will modify its weight since it has a different gravitational pull . Since the weight is measured by the mass and the gravitational pull , and the gravitational pull is different on Earth and the moon because of its size , the astronaut's weight will be less on the moon than it will be on Earth. "
STDT 423, The mass of the moon is less than earth. Less mass means less gravitational pull than something with a greater mass. 
STDT 425, The moon has a very weak gravitational put to the center of itself creating less gravity pulling an astronaut down to its surface. 
STDT 428,an astronauts wight is different on the moon because there is less gravity on the moon than on earth which makes the astronauts wight lower.
STDT 429, because weight depends.upon gravity and mass but gravity and mass but gravitynon earth d differs from gravitu on moon 
STDT 434, because theres no gravity so you float because when theres no gravitational force you cannot touch the ground . 
STDT 435,A astronaut's weight on the moon is less because of the lack of gravity.
STDT 437," Weight is the force of gravity on an object, so the weight of the astronaut increases in a location with more gravity and decreases in a place with less.  "
STDT 438," It's because the gravity on the moon is less than the gravity on earth, the gravity is less on the moon because the earth is larger in comparison. "
STDT 444," An astronaut's weight would be different on the moon than on Earth because, of the different masses the astronaut would have, and the different gravitational forces."
STDT 446,   His weight would change because there is less gravity on the moon and weight depends on how much gravity and mass an object has. 
STDT 449, Well in space there is a thing called zero gravity and when you are in space you seem to float but on earth there is no zero gravity 
STDT 451, Because the weight on the moon is a measure of force and it needs an object to have mass and gravity. And on the earth our mass is measured in kilograms and in pounds the weight difference is on the earth the astronaut weighed  175 and on the moon he/she weighed 29 lbs. 
STDT 458, an astonaut on a moon weights is less then being on earth the moon has one-sixth of the weight then earth and earth has the 60 then the moon. 
STDT 459," An astronaut's weight would be different on the moon, because the moon's gravitational force decreases than the Earth's gravitational force which increases. The astronaut's weight of 150 pounds on earth will change when he lands on the moon, he will weigh 25 pounds instead. The mass of the astronaut which is 68 kg will stay the same on Earth and the moon. "
STDT 460,An astronaut's weight is different on the moon than it is on earth because the mass of the moon is different than the mass of earth so you would weigh different on the moon than earth.
STDT 462, An astonaut's weight is different on the moon than on earth because of the gravitational pull. The moon has less gravity so the astronaut's weight is a lot less but his mass is that as on earth. 
STDT 466,"The reason astronaut's weight is different on the moon than it is on Earth is because, gravity and mass are both factors of weight, and there is less gravity in space/ on the moon, you weigh less. "
STDT 468,Because the force of gravity is less on the Moon than it is on Earth. Weight depends on gravity. 
STDT 476, Because on earth theres stronger force but on the moon there isn't gravity at all. 
STDT 477," If it had less mass than earth, it would be more dense than earth and anyone there would weigh less on the moon. "
STDT 478,On the moon there's less gravity than on Earth. The gravity of Earth is stronger than the one on the moon.
STDT 486, because there is no gravity on the moon 
STDT 487," First, well, the moon is much smaller than the earth and way less dense. So the gravitational attraction on the moon is less than it is on earth. "
STDT 488, The weight on the moon is different than on earths weight because the gravitational force is less on the moon that earth.
STDT 493, It would be that the moon is lighter and because of that your weight would change. 
STDT 499,There is lest gravity on the moon than earth.Earth has a  bigger gravitational force.
STDT 503," The reason the astronaut has a difference in weight is because the gravitational pull on earth is stronger than the gravitational pull on the moon, because the earth is bigger than the moon.  "
STDT 504," Astronaut's weight is different on the Moon than on Earth for two reasons. First, there is less gravity on the moon, and the Moon's distance is farther away from the sun. Weight is the force of gravity on an object, so that means when gravity decreases the amount of weight on an object decreases. For these reasons an astronaut's weight decrease on the moon than on earth. "
STDT 509," The astronauts' mass changes because if you go to the moon it obviously has less gravity than the earth, which affects a man so that he grows taller and gets less weight. "
STDT 515," Earth is far larger that the moon. The bigger the mass the more gravity it has, and since the earth is larger you would way a lot less on the moon. "
STDT 516, a astronauts weight is different on the moon because it is farther from the earth there for there is less gravity 
STDT 518,an astronauts weight is different on the moon than it is on earth because of gravity. the moon doesn't have as much gravity as earth and gravity is partly how they measure weight so your weight would be different.
STDT 519, The weight of an object increases if the location has more gravity. The weight of an object decreases if the location has less gravity. 
STDT 522," An astronauts weight would change on the moon then on earth because in space there is not gravity, so therefore with no gravity the mass will change and since the mass changed, it changed the astronauts weight.  "
STDT 526,The astronaut will weight less on the moon because there is no gravity. On earth the astronaut will way more because of the gravity.
STDT 529," Our weight on moon is less than it would be on Earth due to a difference of the power of gravity on the moon. The moon's gravitation force is dependent upon the mass and the size of the moon, which means that if you went to the moon you would definitely weigh less although the mass would stay the say."
STDT 531, The astronauts weight will not change but it might feel like it.  
STDT 533, It is different on the moon because there is zero gravity on the moon then on earth on earth you get pulled down with gravity which ain't the same on the moon. 
STDT 535,"The Moon and the Earth have two very different gravitational pulls. The pull on the moon is lighter than the pull of the Earth, so the weight would change because weight is the amount of gravitational pull on an object and the moon has less gravitational pull. "
STDT 536,the moon has no gravity and since weight is by mass and gravity; it decreases weight.
STDT 537,The astronauts weight is different because there is less gravity on the moon then there is on earth.
STDT 538," The moon has less mass than the earth, so it has less gravitational pull, because the earth has more gravitational pull, you weigh more on earth than the moon. "
STDT 541," There is no gravity in space but there is on the moon, but the gravity on the moon is less than the gravity on earth, but the mass does not change it stays the same. "
STDT 544, Because there is no gravity on the moon while there is gravity on the earth. 
STDT 546, An astronaut's weight is different on the moon because the gravity pulls less on the moon. 
STDT 547," The astronaut's weight is different on the moon than on earth because, on earth, the gravity is more than on the moon. Therefore, the astronaut's weight decreases when on the moon.    "
STDT 548, The moon has a very weak atmosphere of sodium and potassium so the moon has a weak gravitational pull.  
STDT 549,"    It has to do with gravity. Weight has to do with the amount of gravitational force that there is on an object. Since there is no gravity on the moon or in space, there is no weight, which is why an astronaut's weight is decreased in space and would be regular on earth. "
STDT 550," If I was astronaut in space, and visited a larger planet than Earth.Then,.I would weigh more because the planet has more mass and gravittaional pull.  "
STDT 552," When an astronaut is standing on the earth, he doesn't jump very high. When he stands on the moon, he jumps higher than he does on Earth. This is because the astronaut weighs less on the moon because he's further from the Earth. "
STDT 555, astrnauts weight is different on the moon because theere is no gravity so theweight goes down . 
STDT 556," Weight, which is the force of gravity of an object, depends on mass and gravity. The moon has less gravity than the earth, so the force of gravity will be less.  Therefore, the weight will be less than it would be on earth.  "
STDT 558," The earth has more mass than the moon, so the astronaut weighs more on the earth than the moon. "
STDT 560,"An astronauts weight is different on the moon than it is on the Earth because Earth’s gravitational pull is far stronger than the moon’s. So because the weight of an object is a measure of force, you would weigh less on the moon than you do on Earth."
STDT 562," The astronaut would weigh less on the moon than Earth because of the lack of gravity on the moon. For example, let's say you could jump 1 foot on the Earth. You could maybe  jump 5 feet on the moon because of the lack of gravity pushing down on you, so you weigh less, enabling you to jump higher. "
STDT 565, on earth the weight is normal but when going into space the weight goes down because of the gravity 
STDT 566, Because the earth has a stronger gravitational pull then the moon. 
STDT 567, The amount of gravitational force of two objects depends upon two objects: all mass and distance. 
STDT 574, Because the moon has less mass than the earth meaning that the moon has less gravity than the earth causing the astronaut to become lighter on the moon. 
STDT 575," You will become light because, for example, you're on Saturn and the force would be weaker, so you would weigh lighter than before. "
STDT 589,The weight of an astronaut is different on the moon than earth because the gravitational force is heavier on earth than it is on the moon.
STDT 591,"An astronaut's weight is different on the moon because the moon has less mass, so therefore it has less gravity, and since weight is the measure of gravitational force on an object, there is less gravity affecting the astronaut on the moon than on Earth."
STDT 592, There is no gravity on the moon so the astronaut's weight will be less. Earth has alot of gravity so items fall to the ground. 
STDT 596," On the moon there is not a lot of gravity force on the moon if you jump you will flout up but there is some gravity, so you will go back down but in space astronauts have to have a rope to them because there is no gravity if you don't have a rope you will just flout away but on earth the reason you go back to the ground is that there is more gravity than on the moon. "
STDT 600," An astronaut will weigh less on the moon than on earth because even though he has the same amount of mass in both places, there is less gravity on the moon than on earth, therefore his weight is less. "
STDT 601, An astronaut's weight on the moon is less than it would be on Earth because a difference of the strength of gravity on the moon. Surface gravity of moon is so much less than the surface gravity on earth.
STDT 603,an astronauts weight is different on the moon because  it has less mass
STDT 605,Because the moon doesn’t pull as hard as the Earth.
STDT 608,The astronauts would way less on the moon because the gravtational force is less on the moon than on Earth.
STDT 610," Since weight is the force of gravity on an object, the weight of an object in a location with more gravity  would mean more weight. "
STDT 611, Astronaut weight are different on the moon than the earth because there is not much gravity on the moon so it is like they are nothing (have no mass) but on earth there is gravity that is why we can't fly or float in the air because there is a gravitational pull on earth.  
STDT 616, because in space your mass is like 1/4 or 1/2. 
STDT 617, Astronaut's weight   is different on the moon than it is on Earth because Earth has more gravity than the moon. 
STDT 621, The moon has a less graitational pull 
STDT 624,Because the astronaut is on a place the the gravity is lessened because there is less of a gravitational pull than on earth so if you where on earth and you where 155 pounds instead you are like what 55.
STDT 629, Because in the moon there is less gravity than in earth. 
STDT 634," The moon weighs less than earth, so there is less gravity to pull you  down. "
STDT 636, An astronaut's weight on Earth is different from their weight on the Moon because the Moon has less gravitational force pulling them down. This is also the reason people can jump really high on the Moon.
STDT 648,"On Earth, the gravitational force is stronger than the moon's gravitational force. If an astronaut weighed 100 pounds, he would weigh 16 pounds on the moon because there is less gravitational force pulling him down."
STDT 650, An astronaut's weight is different on the moon than it is on Earth because weight is the force of gravity on an object. The weight of an object increases in a location with more gravity and decreases and a place with less. 
STDT 653,The moon has less gravity then Earth.
STDT 654,the mass on the moon is different then the mass on earth because it is smaller.
STDT 655," The weight is less in a place with less gravity, but in a place with more gravity you gain weight. "
STDT 657,since the moon is smaller than the earth it has a weaker gravitional pull which makes u lighter
STDT 664,The moon has less gravity than the earth meaning that an astronaut on the moon would have a different weight on earth because weight  depends on mass and gravity.
STDT 680," The moon has a smaller mass than the Earth, and the gravitational pull affects weight. "
STDT 682, An astronaut's weight is different because the Earth has more mass than the moon.  
STDT 684,The astronaut's weight is different on the Moon than on Earth because the Moon has a smaller mass than the Earth  making the astronaut's weight lighter on the Moon than on the Earth.
STDT 735,"To begin with, an astronaut's weight is different than it is on the earth than the moon is because of the gravity. First, Gravity is what keeps us down and pulls objects together for example, the Earth and the sun. The reason we have gravity on Earth is that Earth has gravitational force. Gravitational force is basically the same thing as gravity it just has a more scientific name. Next, The gravity is way more different on Earth than it is on the moon because of the distance. Distance affects gravity aswell as weight and mass. A demonstration of why weight and mass effects gravity is let's say there is a group A and a group B, group A has a 10lb ball and a 30lb ball, group B has a 30lb ball and a 30lb ball. Obviously group B would have a greater gravitational force than group A. Now here's an example of why distance affects the gravitational force so let's say that there is group 1 and group 2, group 1 has the distance of 3 meters, group 2 has the distance of 10 meters. Group 1 would have more gravitational force because it's closer than group 2. Lastly, The weight changes pending on the location. Since weight is a force that is gravity on objects, an object or thing's weight will increase the more gravity there is and the less gravity there is the object or thing's weight will decrease.Therefore, that's why astronaut's weight is different on the moon than it is on Earth. "
STDT 738, An astronaut weighs more on the Earth than the moon because the gravitational pull of the Earth is greater. 
STDT 740, It depends on both mass and gravity. 
STDT 741,Weight is a measure of force and the object needs to have mass and gravity and sense the astronaut is on the moon there is low gravity so his weight would less on the moon.
STDT 742,"Because there is no mass on the moon, however there is mass on Earth,"
STDT 744," The moon has less gravity than Earth, so an astronaut weighs less on the moon than on Earth. "
STDT 757," An astronaut's weight is different on the moon because the moon has less mass, resulting in less gravity. "
STDT 761, Well you'd be skinnier or not because mass is the key detail of weight 
STDT 768," It depends on mass and gravity. For example, You would have less weigh in the moon or in space than on Earth. "
STDT 770, because the weight of an object increases in a location with more gravity and decreases in a place with less. 
STDT 773,"         An astronaut's weight is different on the moon than on the Earth because the astronaut's weight decreases in a location with less gravity, and the moon has less gravity than Earth, so an astronaut's weight will be less on the moon but his mass will stay the same. "
STDT 775," Because Earth has more gravity regularly than space does, and that's why when astronauts are on the moon they weigh differently because of the gravity in space. "
STDT 776," There's less gravity on the moon than on the earth, because the earth is bigger.  "
STDT 777," Because weight depends upon gravity and mass, but gravity on earth d differs from gravity on the moon. "
STDT 781," Astronaut's weight is different on the moon than on Earth because weight is the force of gravity on an object, the weight of an object increases in a location with more gravity and decreases in a place with less gravity, and the moon is a place with less gravity and the Earth is a place with more gravity."
STDT 783, It is because you are farther away form the earth's gravitational pull so therefor you will way less. 
STDT 784," The more gravity, the heavier the weight. The less gravity, the lighter the weight. The gravity on the moon is weaker than the gravity on earth, therefore making the astronaut have less weight on the moon and more weight on earth. "
STDT 786,Because the moon has no gravity.
STDT 792,because of gravitatinal force it not the same as here on earth then on the moon.
STDT 793,Because the gravity is different on the moon and earth the less gravity the less weight of an object.
